REPOSITORY                                TAG        DIGEST                                                                    IMAGE ID                                                                  CREATED         SIZE
aeronavigatorbi/datalens-data-api         0.2396.0   <none>                                                                    sha256:a85b2bdc739b4297964a9b1178b0ac71ff3e67d517dd6ced93fc3d23aeed1665   3 days ago      733MB
akrasnov87/datalens-data-api              0.2396.0   sha256:a85b2bdc739b4297964a9b1178b0ac71ff3e67d517dd6ced93fc3d23aeed1665   sha256:a85b2bdc739b4297964a9b1178b0ac71ff3e67d517dd6ced93fc3d23aeed1665   3 days ago      733MB
aeronavigatorbi/datalens-control-api      0.2396.0   <none>                                                                    sha256:93c3b33a558906c64e9be69abdf647adff42467d9d6d4c72a661ae14189cd904   3 days ago      732MB
akrasnov87/datalens-control-api           0.2396.0   sha256:93c3b33a558906c64e9be69abdf647adff42467d9d6d4c72a661ae14189cd904   sha256:93c3b33a558906c64e9be69abdf647adff42467d9d6d4c72a661ae14189cd904   3 days ago      732MB
akrasnov87/datalens-us                    0.413.0    sha256:8ecf3acd60665c798b5f578935fef09995839bf7c85e69a04c982347498d314a   sha256:8ecf3acd60665c798b5f578935fef09995839bf7c85e69a04c982347498d314a   6 days ago      841MB
aeronavigatorbi/dl-ui                     local      sha256:ba32ae6f66b073d88617709deacddca45553c0a0bd2b8a23872e6dba46c4bfa3   sha256:ba32ae6f66b073d88617709deacddca45553c0a0bd2b8a23872e6dba46c4bfa3   7 days ago      6.61GB
aeronavigatorbi/datalens-ui               0.3498.0   <none>                                                                    sha256:ba32ae6f66b073d88617709deacddca45553c0a0bd2b8a23872e6dba46c4bfa3   7 days ago      6.61GB
aeronavigatorbi/datalens-temporal         1.27.2     sha256:ce1b9bcd799e2abf339fb34addce48aee25951c9c4484ee302a91bc3040a803c   sha256:ce1b9bcd799e2abf339fb34addce48aee25951c9c4484ee302a91bc3040a803c   7 days ago      634MB
aeronavigatorbi/datalens-postgres         16         sha256:12c872cda5bd56eab64a308e6b0a6373938efe2aacde75f2bce2a7fed6200bfb   sha256:12c872cda5bd56eab64a308e6b0a6373938efe2aacde75f2bce2a7fed6200bfb   7 days ago      757MB
alpine                                    3.20       sha256:a4f4213abb84c497377b8544c81b3564f313746700372ec4fe84653e4fb03805   sha256:a4f4213abb84c497377b8544c81b3564f313746700372ec4fe84653e4fb03805   8 weeks ago     12.2MB
aeronavigatorbi/datalens-meta-manager     0.50.0     <none>                                                                    sha256:eb8051de708a8cfd1495bfcdd418c06b2b5e5d81b90acca65d9426f1dae670fb   2 months ago    1.13GB
akrasnov87/datalens-meta-manager          0.50.0     sha256:eb8051de708a8cfd1495bfcdd418c06b2b5e5d81b90acca65d9426f1dae670fb   sha256:eb8051de708a8cfd1495bfcdd418c06b2b5e5d81b90acca65d9426f1dae670fb   2 months ago    1.13GB
akrasnov87/datalens-ui                    0.3498.0   sha256:4d9dbdf78c8cea06c710ef322f714dc450107a8a9305a119a78bfd187bd232c1   sha256:4d9dbdf78c8cea06c710ef322f714dc450107a8a9305a119a78bfd187bd232c1   2 months ago    4.69GB
aeronavigatorbi/datalens-us               0.413.0    sha256:4f778de188b1e48a7e61de1135dbca87d348232dc1c1067e8c5e2615e861e6a4   sha256:4f778de188b1e48a7e61de1135dbca87d348232dc1c1067e8c5e2615e861e6a4   2 months ago    822MB
ghcr.io/datalens-tech/datalens-temporal   1.27.2     sha256:64820b925c63499de4df7ec55cbe7dbf9c786a8e8966db131d963f4c5f50c6ad   sha256:64820b925c63499de4df7ec55cbe7dbf9c786a8e8966db131d963f4c5f50c6ad   3 months ago    634MB
aeronavigatorbi/datalens-auth             0.2.6      <none>                                                                    sha256:2dbea1babcbf4e302e4b921db967d7dd68894020a0a0d4f8a9fac4cba019ccd6   5 months ago    713MB
akrasnov87/datalens-auth                  0.2.6      sha256:2dbea1babcbf4e302e4b921db967d7dd68894020a0a0d4f8a9fac4cba019ccd6   sha256:2dbea1babcbf4e302e4b921db967d7dd68894020a0a0d4f8a9fac4cba019ccd6   5 months ago    713MB
akrasnov87/datalens-postgres              16         sha256:7b140a8079b34fbbfa125788abb368880dd0afd6d4879ff0e971b33e0bc6c224   sha256:7b140a8079b34fbbfa125788abb368880dd0afd6d4879ff0e971b33e0bc6c224   11 months ago   810MB
ghcr.io/datalens-tech/temporal-ui         2.34.0     sha256:cb17ea423d76a8a19a269d0bcd81fc12eee1f6365acd2a56b590dafb35696a95   sha256:cb17ea423d76a8a19a269d0bcd81fc12eee1f6365acd2a56b590dafb35696a95   14 months ago   163MB
